  0.44700000E+01 -0.12142624E-04  0.22576099E-04
  0.44800000E+01 -0.11897072E-04  0.22483277E-04
  0.44900000E+01 -0.11645917E-04  0.22390453E-04
  0.45000000E+01 -0.11391035E-04  0.22298058E-04
  0.45100000E+01 -0.11134169E-04  0.22206373E-04
  0.45200000E+01 -0.10876885E-04  0.22115585E-04
  0.45300000E+01 -0.10620582E-04  0.22025819E-04
  0.45400000E+01 -0.10366496E-04  0.21937156E-04
  0.45500000E+01 -0.10115711E-04  0.21849646E-04
  0.45600000E+01 -0.98691748E-05  0.21763318E-04
  0.45700000E+01 -0.96277108E-05  0.21678180E-04
  0.45800000E+01 -0.93920287E-05  0.21594224E-04
  0.45900000E+01 -0.91627388E-05  0.21511431E-04
  0.46000000E+01 -0.89403626E-05  0.21429771E-04
  0.46100000E+01 -0.87253436E-05  0.21349203E-04
  0.46200000E+01 -0.85180562E-05  0.21269679E-04
  0.46300000E+01 -0.83188146E-05  0.21191145E-04
  0.46400000E+01 -0.81278795E-05  0.21113540E-04
  0.46500000E+01 -0.79454653E-05  0.21036801E-04
  0.46600000E+01 -0.77717449E-05  0.20960858E-04
  0.46700000E+01 -0.76068552E-05  0.20885640E-04
  0.46800000E+01 -0.74509010E-05  0.20811073E-04
  0.46900000E+01 -0.73039575E-05  0.20737080E-04
  0.47000000E+01 -0.71660722E-05  0.20663584E-04
  0.47100000E+01 -0.70372644E-05  0.20590505E-04
  0.47200000E+01 -0.69175219E-05  0.20517766E-04
  0.47300000E+01 -0.68067984E-05  0.20445288E-04
  0.47400000E+01 -0.67050127E-05  0.20372994E-04
  0.47500000E+01 -0.66120587E-05  0.20300813E-04
  0.47600000E+01 -0.65278291E-05  0.20228680E-04
  0.47700000E+01 -0.64522508E-05  0.20156544E-04
  0.47800000E+01 -0.63853144E-05  0.20084374E-04
  0.47900000E+01 -0.63270757E-05  0.20012152E-04
  0.48000000E+01 -0.62776112E-05  0.19939835E-04
  0.48100000E+01 -0.62369417E-05  0.19867295E-04
  0.48200000E+01 -0.62049594E-05  0.19794305E-04
  0.48300000E+01 -0.61814023E-05  0.19720660E-04
  0.48400000E+01 -0.61658928E-05  0.19646268E-04
  0.48500000E+01 -0.61580165E-05  0.19571126E-04
  0.48600000E+01 -0.61573984E-05  0.19495250E-04
  0.48700000E+01 -0.61637406E-05  0.19418645E-04
  0.48800000E+01 -0.61768161E-05  0.19341299E-04
  0.48900000E+01 -0.61964376E-05  0.19263185E-04
  0.49000000E+01 -0.62224230E-05  0.19184270E-04
  0.49100000E+01 -0.62545750E-05  0.19104515E-04
  0.49200000E+01 -0.62926732E-05  0.19023880E-04
