  0.48500000E+01  0.67404750E+03  0.17068879E+04
  0.48600000E+01  0.67679923E+03  0.17044860E+04
  0.48700000E+01  0.67958412E+03  0.17021451E+04
  0.48800000E+01  0.68239822E+03  0.16998646E+04
  0.48900000E+01  0.68523756E+03  0.16976438E+04
  0.49000000E+01  0.68809823E+03  0.16954820E+04
  0.49100000E+01  0.69097642E+03  0.16933783E+04
  0.49200000E+01  0.69386847E+03  0.16913320E+04
  0.49300000E+01  0.69677090E+03  0.16893422E+04
  0.49400000E+01  0.69968039E+03  0.16874080E+04
  0.49500000E+01  0.70259385E+03  0.16855288E+04
  0.49600000E+01  0.70550837E+03  0.16837041E+04
  0.49700000E+01  0.70842130E+03  0.16819334E+04
  0.49800000E+01  0.71133017E+03  0.16802166E+04
